"text_id"	"subject_id"	"text_length"	"language"	"eye"	"minutes"
"1"	1	1	79	"native"	"both_eyes"	0.303277142117986
"2"	2	1	51	"native"	"both_eyes"	0.198665609473735
"3"	3	1	76	"native"	"both_eyes"	0.301511042114117
"4"	4	1	66	"native"	"both_eyes"	0.260650645894966
"5"	5	1	58	"native"	"both_eyes"	0.219901515412236
"6"	6	1	54	"native"	"both_eyes"	0.21218781341127
"7"	7	1	55	"native"	"both_eyes"	0.2187741927717
"8"	8	1	87	"native"	"both_eyes"	0.352246154723863
"9"	9	1	79	"native"	"both_eyes"	0.306329727469362
"10"	10	1	68	"native"	"both_eyes"	0.264350143770135
"11"	11	1	79	"native"	"both_eyes"	0.308257750306348
"12"	12	1	63	"native"	"both_eyes"	0.25063034718967
"13"	13	1	53	"native"	"both_eyes"	0.210538223464111
"14"	14	1	54	"native"	"both_eyes"	0.212210737780521
"15"	15	1	65	"native"	"both_eyes"	0.250448627771346
"16"	1	2	79	"native"	"both_eyes"	0.294007944098519
"17"	2	2	51	"native"	"both_eyes"	0.192507180205277
"18"	3	2	76	"native"	"both_eyes"	0.291997563115122
"19"	4	2	66	"native"	"both_eyes"	0.252462560565243
"20"	5	2	58	"native"	"both_eyes"	0.21326129080835
"21"	6	2	54	"native"	"both_eyes"	0.205554593861748
"22"	7	2	55	"native"	"both_eyes"	0.211853654604893
"23"	8	2	87	"native"	"both_eyes"	0.340910720174291
"24"	9	2	79	"native"	"both_eyes"	0.296875903546867
"25"	10	2	68	"native"	"both_eyes"	0.2561716703675
"26"	11	2	79	"native"	"both_eyes"	0.298686407312577
"27"	12	2	63	"native"	"both_eyes"	0.242701039863723
"28"	13	2	53	"native"	"both_eyes"	0.203886798468791
"29"	14	2	54	"native"	"both_eyes"	0.205576107280353
"30"	15	2	65	"native"	"both_eyes"	0.242766790827447
"31"	1	3	79	"native"	"both_eyes"	0.296950025835073
"32"	2	3	51	"native"	"both_eyes"	0.194461291591301
"33"	3	3	76	"native"	"both_eyes"	0.295015076732504
"34"	4	3	66	"native"	"both_eyes"	0.255059935743079
"35"	5	3	58	"native"	"both_eyes"	0.215369470243302
"36"	6	3	54	"native"	"both_eyes"	0.207658970719371
"37"	7	3	55	"native"	"both_eyes"	0.214048606815176
"38"	8	3	87	"native"	"both_eyes"	0.344504535381043
"39"	9	3	79	"native"	"both_eyes"	0.299875956332824
"40"	10	3	68	"native"	"both_eyes"	0.258766866872179
"41"	11	3	79	"native"	"both_eyes"	0.301723350603716
"42"	12	3	63	"native"	"both_eyes"	0.245215930835317
"43"	13	3	53	"native"	"both_eyes"	0.205996458051477
"44"	14	3	54	"native"	"both_eyes"	0.207680926905966
"45"	15	3	65	"native"	"both_eyes"	0.245204850723405
"46"	1	4	79	"native"	"both_eyes"	0.297458479198394
"47"	2	4	51	"native"	"both_eyes"	0.194799059465595
